Informe;IDOrden;Codigo de Producto;Descripcion;Lote;Fecha Informe;Fecha Recibido;Usuario;Cant Bultos;Cantidad Recibida;TiPo Compra;IDAlmacen;almacen;IDProveedor;proveedor;tipo material
inf131066;127558_5;356339;empaque prim;22me7022;07/09/2022;07/09/2022;crduna;0;-70,51;P;2;Argentina;178;IER SOLUTION S.A.;ME
inf114116;125430_1;.;186000112 COLUMNA HPLC;;03/05/2022;03/05/2022;crduna;2;2;M;2;Argentina;214;ICO SISTEMAS S.A.;NP
inf124101;127143_15;602079;VALSARTAN 160mg+AMLODIPI;;18/07/2022;18/07/2022;crduna;0;-285813;S;1;Uruguay;263; FRASCA SRL;GR
inf129897;127505_1;.;Terminales preaislados L;;30/08/2022;30/08/2022;crduna;0;-100;M;1;Uruguay;273;TRICIDAD GRAL PAZ SA;NP
inf135586;127345_3;LP04061;TOALLA INTERCALADA 250 H;;06/10/2022;06/10/2022;crduna;0;-100;P;2;Argentina;345;APELERA DEL PLATA S A;NP
inf131797;126069_1;.;CINTA BALANZA DINaMICA;;13/09/2022;13/09/2022;rmoreno;0;30;M;2;Argentina;1;TECNA SRL;NP
inf137287;129311_2;.;LAMPARA UV;;21/10/2022;21/10/2022;fball;0;6;M;2;Argentina;1;TECNA SRL;NP
inf137289;129311_3;.;BALASTO;;21/10/2022;21/10/2022;fball;0;3;M;2;Argentina;1;TECNA SRL;NP
inf141907;126430_1;.;2768949;;24/11/2022;23/11/2022;rmoreno;0;2;M;2;Argentina;1;TECNA SRL;NP
inf102149;122663_1;602065;LORATADINA CAPSULA BLANDA;90641;15/01/2022;15/01/2022;mcruz;50;1476065;P;2;Argentina;2;LENT ARGENTINA S.A.I.y C;GR
inf102535;123207_1;63021;CLINDAMICINA+KETOCONAZOL;;18/01/2022;18/01/2022;mcruz;0;220639;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf102527;122670_2;62930;CLINDAMICINA OVULOS;;18/01/2022;18/01/2022;mcruz;0;215398;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf103396;122670_1;63021;CLINDAMICINA+KETOCONAZOL;;25/01/2022;25/01/2022;crduna;0;210,814;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf103397;123207_2;63021;CLINDAMICINA+KETOCONAZOL;;25/01/2022;25/01/2022;crduna;0;218152;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf103398;123207_3;63021;CLINDAMICINA+KETOCONAZOL;;25/01/2022;25/01/2022;crduna;0;218731;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf103405;122670_1;63021;CLINDAMICINA+KETOCONAZOL;;25/01/2022;25/01/2022;crduna;0;210814;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf107021;123446_1;604534;COLECALCIFEROL 100000 UI;90643;04/03/2022;04/03/2022;crduna;33;493793;P;2;Argentina;2;LENT ARGENTINA S.A.I.y C;GR
inf107011;123474_1;62760;ACEITE DE PESCADO 1 gr CA;;04/03/2022;04/03/2022;crduna;0;980605;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf107012;123474_3;62760;ACEITE DE PESCADO 1 gr CA;;04/03/2022;04/03/2022;crduna;0;984031;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf108101;123822_1;62930;CLINDAMICINA OVULOS;;14/03/2022;14/03/2022;crduna;0;218580;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf108887;123207_4;63021;CLINDAMICINA+KETOCONAZOL;;21/03/2022;21/03/2022;mcruz;0;218804;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf112602;125230_1;61060;VITAMINA E CAPSULA BLANDA;91978;20/04/2022;20/04/2022;crduna;118;589809;P;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf113426;125307_1;63021;CLINDAMICINA+KETOCONAZOL;;28/04/2022;27/04/2022;crduna;0;219578;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf114944;124191_1;63021;CLINDAMICINA+KETOCONAZOL;;07/05/2022;06/05/2022;crduna;0;216451;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf116740;120002_3;604534;COLECALCIFEROL 100000 UI;89328;23/05/2022;23/05/2022;crduna;33;494331;P;2;Argentina;2;LENT ARGENTINA S.A.I.y C;GR
inf118199;126085_2;62760;ACEITE DE PESCADO 1 gr CA;;03/06/2022;03/06/2022;crduna;0;991867;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf118198;126085_1;62760;ACEITE DE PESCADO 1 gr CA;;03/06/2022;03/06/2022;crduna;0;982674;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf119509;126085_3;63021;CLINDAMICINA+KETOCONAZOL;;14/06/2022;14/06/2022;crduna;0;211698;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf120626;125307_2;63021;CLINDAMICINA+KETOCONAZOL;;24/06/2022;24/06/2022;crduna;0;215416;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf123264;126976_2;62930;CLINDAMICINA OVULOS;;12/07/2022;11/07/2022;crduna;0;219608;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf123266;126593_2;62930;CLINDAMICINA OVULOS;;12/07/2022;11/07/2022;crduna;0;216857;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf123265;126593_1;63021;CLINDAMICINA+KETOCONAZOL;;12/07/2022;11/07/2022;crduna;0;218725;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf123136;126592_1;604534;COLECALCIFEROL 100000 UI;92261;11/07/2022;11/07/2022;crduna;33;490060;P;2;Argentina;2;LENT ARGENTINA S.A.I.y C;GR
inf124934;126976_4;602064;ACEITE DE PESCADO CAPSUL;;22/07/2022;22/07/2022;crduna;0;992174;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf124933;126976_3;602064;ACEITE DE PESCADO CAPSUL;;22/07/2022;22/07/2022;crduna;0;993178;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf125232;126976_1;63021;CLINDAMICINA+KETOCONAZOL;;27/07/2022;26/07/2022;crduna;0;194000;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf127825;128340_3;604634D;CLINDAMICINA+KETOCONAZOL;58819;16/08/2022;12/08/2022;crduna;2;38566;P;2;Argentina;2;LENT ARGENTINA S.A.I.y C;GR
inf127822;128340_2;604634D;CLINDAMICINA+KETOCONAZOL;58818;16/08/2022;12/08/2022;crduna;2;38131;P;2;Argentina;2;LENT ARGENTINA S.A.I.y C;GR
inf127821;128340_1;604634D;CLINDAMICINA+KETOCONAZOL;58817;16/08/2022;12/08/2022;crduna;2;34000;P;2;Argentina;2;LENT ARGENTINA S.A.I.y C;GR
inf127746;126982_1;604534;COLECALCIFEROL 100000 UI;92775;13/08/2022;13/08/2022;fball;34;497071;P;2;Argentina;2;LENT ARGENTINA S.A.I.y C;GR
inf127745;127155_1;61060;VITAMINA E CAPSULA BLANDA;92444;13/08/2022;13/08/2022;fball;118;587072;P;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf133212;126982_2;604534;COLECALCIFEROL 100000 UI;93211;21/09/2022;15/09/2022;crduna;33;481546;P;2;Argentina;2;LENT ARGENTINA S.A.I.y C;GR
inf135317;128256_1;604548;MELOXICAM 15mg +PRIDINOL;;05/10/2022;05/10/2022;crduna;0;971677;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf137194;128864_1;62760;ACEITE DE PESCADO 1 gr CA;;20/10/2022;20/10/2022;crduna;0;922957;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf142704;127986_1;63021;CLINDAMICINA+KETOCONAZOL;;29/11/2022;29/11/2022;crduna;0;216940;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf145679;128902_1;61060;VITAMINA E CAPSULA BLANDA;93330;20/12/2022;19/12/2022;crduna;120;597162;P;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf139533;128864_2;62760;ACEITE DE PESCADO 1 gr CA;;04/11/2022;04/11/2022;crduna;0;987975;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf142261;127986_3;63021;CLINDAMICINA+KETOCONAZOL;;25/11/2022;25/11/2022;crduna;0;216437;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf142705;127986_2;63021;CLINDAMICINA+KETOCONAZOL;;29/11/2022;29/11/2022;crduna;0;220336;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf141901;128864_6;602064;ACEITE DE PESCADO CAPSUL;;24/11/2022;23/11/2022;crduna;0;979183;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf140261;128864_3;62760;ACEITE DE PESCADO 1 gr CA;;10/11/2022;10/11/2022;crduna;0;989859;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf143302;128864_4;62760;ACEITE DE PESCADO 1 gr CA;;02/12/2022;02/12/2022;crduna;0;997295;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf143303;128864_5;602064;ACEITE DE PESCADO CAPSUL;;02/12/2022;02/12/2022;crduna;0;988316;S;1;Uruguay;2;LENT ARGENTINA S.A.I.y C;GR
inf124936;124877_2;.;AMERCOURAMB;;22/07/2022;22/07/2022;crduna;0;1;M;2;Argentina;3;INST.BIO.ST.AND CONT.;NP
inf124935;124877_1;.;10/178 ENDOTOXIN;;22/07/2022;22/07/2022;crduna;0;2;M;2;Argentina;3;INST.BIO.ST.AND CONT.;NP
inf104728;124608_1;1609;FRASCO PLASTICO COD263 AM;;09/02/2022;09/02/2022;crduna;1;1650;P;1;Uruguay;4;STOR S.R.L.;MP
inf104721;124360_2;1609;FRASCO PLASTICO COD263 AM;;09/02/2022;09/02/2022;crduna;3;1650;P;2;Argentina;4;STOR S.R.L.;MP
inf104726;124605_2;3273;FRASCO PLASTICO 250CC AMB;;09/02/2022;09/02/2022;crduna;1;156;P;2;Argentina;4;STOR S.R.L.;ME
inf104725;124605_1;3273;FRASCO PLASTICO 250CC AMB;;09/02/2022;09/02/2022;crduna;1;156;P;2;Argentina;4;STOR S.R.L.;ME
inf104722;124360_3;1609;FRASCO PLASTICO COD263 AM;;09/02/2022;09/02/2022;crduna;3;1650;P;2;Argentina;4;STOR S.R.L.;MP
inf104727;124605_3;3273;FRASCO PLASTICO 250CC AMB;;09/02/2022;09/02/2022;crduna;1;156;P;2;Argentina;4;STOR S.R.L.;ME
inf104720;124360_1;1609;FRASCO PLASTICO COD263 AM;;09/02/2022;09/02/2022;crduna;6;3300;P;2;Argentina;4;STOR S.R.L.;MP
inf111053;125742_10;3275;TAPA FRASCO PLASTICO COD7;;07/04/2022;06/04/2022;crduna;1;425;P;2;Argentina;4;STOR S.R.L.;ME
inf111052;125742_9;3275;TAPA FRASCO PLASTICO COD7;;07/04/2022;06/04/2022;crduna;2;950;P;2;Argentina;4;STOR S.R.L.;ME
inf111051;125742_8;3273;FRASCO PLASTICO 250CC AMB;;07/04/2022;06/04/2022;crduna;1;156;P;2;Argentina;4;STOR S.R.L.;ME
inf111050;125742_7;3273;FRASCO PLASTICO 250CC AMB;;07/04/2022;06/04/2022;crduna;1;156;P;2;Argentina;4;STOR S.R.L.;ME
inf111049;125742_6;1609;FRASCO PLASTICO COD263 AM;;07/04/2022;06/04/2022;crduna;3;1650;P;2;Argentina;4;STOR S.R.L.;MP
inf111048;125742_5;1609;FRASCO PLASTICO COD263 AM;;07/04/2022;06/04/2022;crduna;3;1650;P;2;Argentina;4;STOR S.R.L.;MP
inf111047;125742_4;1609;FRASCO PLASTICO COD263 AM;;07/04/2022;06/04/2022;crduna;3;1650;P;2;Argentina;4;STOR S.R.L.;MP
inf111046;125742_3;3941;TAPA FRASCO COD263 POLIST;;07/04/2022;06/04/2022;crduna;1;3000;P;2;Argentina;4;STOR S.R.L.;ME
inf111045;125742_2;3941;TAPA FRASCO COD263 POLIST;;07/04/2022;06/04/2022;crduna;1;3000;P;2;Argentina;4;STOR S.R.L.;ME
inf111054;125742_11;3275;TAPA FRASCO PLASTICO COD7;;07/04/2022;06/04/2022;crduna;1;425;P;2;Argentina;4;STOR S.R.L.;ME
inf111044;125742_1;3941;TAPA FRASCO COD263 POLIST;;07/04/2022;06/04/2022;crduna;2;6000;P;2;Argentina;4;STOR S.R.L.;ME
inf112133;125772_3;3941;TAPA FRASCO COD263 POLIST;;18/04/2022;13/04/2022;crduna;2;4405;P;1;Uruguay;4;STOR S.R.L.;ME
inf112131;125772_1;1609;FRASCO PLASTICO COD263 AM;;18/04/2022;13/04/2022;crduna;5;2750;P;1;Uruguay;4;STOR S.R.L.;MP
inf112132;125772_2;1003;FRASCO POLISTOR N‰24 PST;;18/04/2022;13/04/2022;crduna;5;1655;P;1;Uruguay;4;STOR S.R.L.;MP
inf118892;123956_2;32088;empaque prim;22ME6654;08/06/2022;06/06/2022;crduna;6;10000;P;2;Argentina;5;TATO Y MAJDALANI S.A.;ME
inf112664;125657_1;22280;SACARINA SODICA;22MP2859;21/04/2022;11/04/2022;crduna;2;50000;P;2;Argentina;6;UERIA BEIRO S.R.L.;MP
inf118988;126678_1;256706;ALCOHOL ESTEARILICO;22MP2966;09/06/2022;07/06/2022;crduna;2;40;P;1;Uruguay;6;UERIA BEIRO S.R.L.;MP
inf118989;126570_1;22280;SACARINA SODICA;22MP2967;09/06/2022;07/06/2022;crduna;3;75000;P;2;Argentina;6;UERIA BEIRO S.R.L.;MP
inf121809;127283_1;22540;TALCO CHINO;22MP3010;01/07/2022;01/07/2022;crduna;20;500;P;2;Argentina;6;UERIA BEIRO S.R.L.;MP
