Informe;Codigo de Producto;Lote;Fecha Informe;Fecha Recibido;Usuario;Cant Bultos;Cantidad Recibida;IDOrden
inf131066;356339;22me7022;07/09/2022;07/09/2022;crduna;0;-70,51;127558_5
inf114116;.;;03/05/2022;03/05/2022;crduna;2;2;125430_1
inf124101;602079;;18/07/2022;18/07/2022;crduna;0;-285813;127143_15
inf129897;.;;30/08/2022;30/08/2022;crduna;0;-100;127505_1
inf135586;LP04061;;06/10/2022;06/10/2022;crduna;0;-100;127345_3
inf131797;.;;13/09/2022;13/09/2022;rmoreno;0;30;126069_1
inf137287;.;;21/10/2022;21/10/2022;fball;0;6;129311_2
inf137289;.;;21/10/2022;21/10/2022;fball;0;3;129311_3
inf141907;.;;24/11/2022;23/11/2022;rmoreno;0;2;126430_1
inf102149;602065;90641;15/01/2022;15/01/2022;mcruz;50;1476065;122663_1
inf102535;63021;;18/01/2022;18/01/2022;mcruz;0;220639;123207_1
inf102527;62930;;18/01/2022;18/01/2022;mcruz;0;215398;122670_2
inf103396;63021;;25/01/2022;25/01/2022;crduna;0;210,814;122670_1
inf103397;63021;;25/01/2022;25/01/2022;crduna;0;218152;123207_2
inf103398;63021;;25/01/2022;25/01/2022;crduna;0;218731;123207_3
inf103405;63021;;25/01/2022;25/01/2022;crduna;0;210814;122670_1
inf107021;604534;90643;04/03/2022;04/03/2022;crduna;33;493793;123446_1
inf107011;62760;;04/03/2022;04/03/2022;crduna;0;980605;123474_1
inf107012;62760;;04/03/2022;04/03/2022;crduna;0;984031;123474_3
inf108101;62930;;14/03/2022;14/03/2022;crduna;0;218580;123822_1
inf108887;63021;;21/03/2022;21/03/2022;mcruz;0;218804;123207_4
inf112602;61060;91978;20/04/2022;20/04/2022;crduna;118;589809;125230_1
inf113426;63021;;28/04/2022;27/04/2022;crduna;0;219578;125307_1
inf114944;63021;;07/05/2022;06/05/2022;crduna;0;216451;124191_1
inf116740;604534;89328;23/05/2022;23/05/2022;crduna;33;494331;120002_3
